Date,Country/Region,Cluster,Sum_Confirmed,Sum_Recovered,"Sum_Deaths"
2020-03-19,Armenia,4,115,1,0
2020-03-20,Armenia,4,136,1,0
2020-03-21,Armenia,4,160,1,0
2020-03-22,Armenia,4,194,2,0
2020-03-23,Armenia,4,235,2,0
2020-03-24,Armenia,4,249,14,0
2020-03-25,Armenia,4,265,16,0
2020-03-26,Armenia,4,290,18,1
2020-03-27,Armenia,4,329,28,1
2020-03-28,Armenia,4,407,30,1
2020-03-29,Armenia,4,424,30,3
2020-03-30,Armenia,4,482,30,3
2020-03-31,Armenia,4,532,30,3
2020-04-01,Armenia,4,571,31,4
2020-04-02,Armenia,4,663,33,7
2020-04-03,Armenia,4,736,43,7
2020-01-22,Australia,6,0,0,0
2020-01-23,Australia,6,0,0,0
2020-01-24,Australia,6,0,0,0
2020-01-25,Australia,6,0,0,0
2020-01-26,Australia,6,4,0,0
2020-01-27,Australia,6,5,0,0
2020-01-28,Australia,6,5,0,0
2020-01-29,Australia,6,6,0,0
2020-01-30,Australia,6,9,2,0
2020-01-31,Australia,6,9,2,0
2020-02-01,Australia,6,12,2,0
2020-02-02,Australia,6,12,2,0
2020-02-03,Australia,6,12,2,0
2020-02-04,Australia,6,13,2,0
2020-02-05,Australia,6,13,2,0
2020-02-06,Australia,6,14,2,0
2020-02-07,Australia,6,15,2,0
2020-02-08,Australia,6,15,2,0
2020-02-09,Australia,6,15,2,0
2020-02-10,Australia,6,15,2,0
2020-02-11,Australia,6,15,2,0
2020-02-12,Australia,6,15,2,0
2020-02-13,Australia,6,15,8,0
2020-02-14,Australia,6,15,8,0
2020-02-15,Australia,6,15,8,0
2020-02-16,Australia,6,15,8,0
2020-02-17,Australia,6,15,10,0
2020-02-18,Australia,6,15,10,0
2020-02-19,Australia,6,15,10,0
2020-02-20,Australia,6,15,10,0
2020-02-21,Australia,6,15,11,0
2020-02-22,Australia,6,15,11,0
2020-02-23,Australia,6,15,11,0
2020-02-24,Australia,6,15,11,0
2020-02-25,Australia,6,15,11,0
2020-02-26,Australia,6,15,11,0
2020-02-27,Australia,6,15,11,0
2020-02-28,Australia,6,15,11,0
2020-02-29,Australia,6,25,11,0
2020-03-01,Australia,6,27,11,1
2020-03-02,Australia,6,30,11,1
2020-03-03,Australia,6,39,11,1
2020-03-04,Australia,6,52,11,2
2020-03-05,Australia,6,55,21,2
2020-03-06,Australia,6,60,21,2
2020-03-07,Australia,6,63,21,2
2020-03-08,Australia,6,76,21,3
2020-03-09,Australia,6,91,21,3
2020-03-10,Australia,6,107,21,3
2020-03-11,Australia,6,128,21,3
2020-03-12,Australia,6,128,21,3
2020-03-13,Australia,6,200,23,3
2020-03-14,Australia,6,250,23,3
2020-03-15,Australia,6,297,23,3
2020-03-16,Australia,6,377,23,3
2020-03-17,Australia,6,452,23,5
2020-03-18,Australia,6,568,23,6
2020-03-19,Australia,6,681,26,6
2020-03-20,Australia,6,791,26,7
2020-03-21,Australia,6,1071,26,7
2020-03-22,Australia,6,1549,88,7
2020-03-23,Australia,6,1682,88,7
2020-03-24,Australia,6,2044,115,8
2020-03-25,Australia,6,2364,119,8
2020-03-26,Australia,6,2810,172,13
2020-03-27,Australia,6,3143,194,13
2020-03-28,Australia,6,3640,244,14
2020-03-29,Australia,6,3984,244,16
2020-03-30,Australia,6,4361,257,17
2020-03-31,Australia,6,4559,358,18
2020-04-01,Australia,6,4862,422,20
2020-04-02,Australia,6,5116,520,24
2020-04-03,Australia,6,5330,649,28
2020-01-22,Austria,6,0,0,0
2020-01-23,Austria,6,0,0,0
2020-01-24,Austria,6,0,0,0
2020-01-25,Austria,6,0,0,0
2020-01-26,Austria,6,0,0,0
2020-01-27,Austria,6,0,0,0
2020-01-28,Austria,6,0,0,0
2020-01-29,Austria,6,0,0,0
2020-01-30,Austria,6,0,0,0
2020-01-31,Austria,6,0,0,0
2020-02-01,Austria,6,0,0,0
2020-02-02,Austria,6,0,0,0
2020-02-03,Austria,6,0,0,0
2020-02-04,Austria,6,0,0,0
2020-02-05,Austria,6,0,0,0
